,Year,Series,Value
Cook Islands,2017,Consumer price index: Food,113.4957
Cook Islands,2018,Consumer price index: Food,113.9644
Costa Rica,1995,Consumer price index: General,20.589
Costa Rica,2005,Consumer price index: General,63.4721
Costa Rica,2010,Consumer price index: General,100
Costa Rica,2015,Consumer price index: General,121.5077
Costa Rica,2016,Consumer price index: General,121.4867
Costa Rica,2017,Consumer price index: General,123.4617
Costa Rica,2018,Consumer price index: General,126.2008
Costa Rica,2010,Consumer price index: Food,100
Costa Rica,2015,Consumer price index: Food,122.1326
Costa Rica,2016,Consumer price index: Food,121.1392
Costa Rica,2017,Consumer price index: Food,123.1797
Costa Rica,2018,Consumer price index: Food,125.1918
Côte d’Ivoire,1995,Consumer price index: General,65.3339
Côte d’Ivoire,2005,Consumer price index: General,88.1064
Côte d’Ivoire,2010,Consumer price index: General,100
Côte d’Ivoire,2015,Consumer price index: General,110.8841
Côte d’Ivoire,2016,Consumer price index: General,111.6859
Côte d’Ivoire,2017,Consumer price index: General,112.452
Côte d’Ivoire,2018,Consumer price index: General,112.9246
Côte d’Ivoire,2005,Consumer price index: Food,75.4744
Côte d’Ivoire,2010,Consumer price index: Food,100
Côte d’Ivoire,2015,Consumer price index: Food,111.8929
Côte d’Ivoire,2016,Consumer price index: Food,115.3164
Côte d’Ivoire,2017,Consumer price index: Food,115.7126
Croatia,1995,Consumer price index: General,60.27
Croatia,2005,Consumer price index: General,85.8357
Croatia,2010,Consumer price index: General,100
Croatia,2015,Consumer price index: General,107.3583
Croatia,2016,Consumer price index: General,106.15
Croatia,2017,Consumer price index: General,107.3667
Croatia,2018,Consumer price index: General,108.9667
Croatia,2010,Consumer price index: Food,116.575
Croatia,2015,Consumer price index: Food,109.3417
Croatia,2016,Consumer price index: Food,108.825
Croatia,2017,Consumer price index: Food,112
Croatia,2018,Consumer price index: Food,113.1
Curaçao,1995,Consumer price index: General,66.9291
Curaçao,2005,Consumer price index: General,84.252
Curaçao,2010,Consumer price index: General,100
Curaçao,2015,Consumer price index: General,108.0803
Curaçao,2016,Consumer price index: General,108.0563
Curaçao,2017,Consumer price index: General,109.7696
Curaçao,2018,Consumer price index: General,112.6057
Curaçao,2010,Consumer price index: Food,100
Curaçao,2015,Consumer price index: Food,124.8382
Curaçao,2016,Consumer price index: Food,126.7568
Curaçao,2017,Consumer price index: Food,128.9066
Curaçao,2018,Consumer price index: Food,134.5758
Cyprus,2005,Consumer price index: General,88.6063
Cyprus,2010,Consumer price index: General,100
